"hgy_external_id","hyrox_official_name","final_classification","matched_location_id","matched_location_slug","canonical_facility_url","official_site_status","canonical_name","address","postal_code","prefecture","city","address_verification_status","latitude","longitude","coordinate_confidence","brand_resolution","proposed_brand_id","proposed_brand_name","proposed_brand_slug","proposed_slug","proposed_location_type","match_method","reasons","conflicts","source_authorities","manual_review_required"
"HGY_XPZszMzcdWvhZx9ZIXD5Qlcvg","Port Tower CrossFit","NEW_LOCATION_NEEDS_REVIEW","","","porttowercrossfit.com","noncanonical","Port Tower CrossFit","650-0003, Kobe, 6-chōme-1 Warizukadōri, Chuo-Ku","650-0003","兵庫県","神戸市中央区","postal_authority_resolved","34.703917","135.208011","medium","INDEPENDENT_FACILITY","","Port Tower CrossFit","port-tower-crossfit","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Only a social, booking, or hosted landing-page URL is available","HYROX governing-body Training Finder | postal address lookup","true"
"HGY_lpqlTA67YHaPgwogB58Qkb8tz","POTRERO","NEW_LOCATION_NEEDS_REVIEW","","","https://www.instagram.com/potrero202310/","noncanonical","POTRERO","185-0012, 東京都, 国分寺市本町2-15-7","185-0012","東京都","東京都","source_only","35.702117","139.4822642","medium","INDEPENDENT_FACILITY","","POTRERO","potrero","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Only a social, booking, or hosted landing-page URL is available","HYROX governing-body Training Finder | facility official website","true"
"HGY_P4QYjZgyjnKMV2GYc2blZggsY","Red Circle Crossfit Nakagawa","NEW_LOCATION_NEEDS_REVIEW","","","https://www.instagram.com/redcircle_crossfit?igsh=MW9zam8zeWk2NWxpZQ%3D%3D&utm_source=qr","noncanonical","Red Circle Crossfit Nakagawa","2240001, Kanagawa, 2-6-23 Nakagawa, Tsuzuki ku , Yokohama","2240001","神奈川県","Kanagawa","source_only","35.5561195","139.575747","medium","INDEPENDENT_FACILITY","","Red Circle Crossfit Nakagawa","red-circle-crossfit-nakagawa","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Only a social, booking, or hosted landing-page URL is available","HYROX governing-body Training Finder | facility official website","true"
"HGY_cBVz2QE1ud5Vy3MNNptUi0O9o","Redmond","NEW_LOCATION_NEEDS_REVIEW","","","","missing","Redmond","2380021, kanagawa, yokosuka, 2-24-3 fujimicho","2380021","神奈川県","yokosuka","source_only","35.2675558","139.6751044","medium","INDEPENDENT_FACILITY","","Redmond","redmond","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website is missing from the governing-body record","HYROX governing-body Training Finder","true"
"HGY_TQyqCRau2ADAlC7BAIIgG950M","rentalgym BTB","NON_STANDARD_LOCATION","","","https://www.btbgym.com/","insufficient_identity_evidence","rentalgym BTB","210-0023, 神奈川県, 川崎市, 18-13 小川町, 川崎区","210-0023","神奈川県","川崎市","source_only","35.5259685","139.6967799","medium","INDEPENDENT_FACILITY","","rentalgym BTB","rentalgym-btb","","","non-standard-entity-name","HYROX governing-body Training Finder record has a stable HGY identity","Entity appears to be a rental, virtual, or event-only operation","HYROX governing-body Training Finder | facility official website","true"
"HGY_1kQTLdyeblDc6Nbt13qiH5oib","RESTORE BASE","NEW_LOCATION_NEEDS_REVIEW","","","https://restorebase.jp/","verified","RESTORE BASE","2310806, Yokohama, Naka-ward honmoku 2-325","2310806","","Yokohama","source_only","35.4299757","139.6611923","high","INDEPENDENT_FACILITY","","RESTORE BASE","restore-base","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Postal authority did not resolve prefecture and city","HYROX governing-body Training Finder | facility official website","true"
"HGY_38HM0vs5mKnIfKg8sHrNzl2KU","ReXeR Osaka","NEW_LOCATION_NEEDS_REVIEW","","","https://rexer.style/","unavailable","ReXeR Osaka","5410051, Osaka, B1,1F,EDGE Bingomachi,Chuo Ward,Osaka","5410051","大阪府","Osaka","source_only","34.6850975","135.5047186","medium","NEW_BRAND_CANDIDATE","","ReXeR","rexer","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website could not be verified live","HYROX governing-body Training Finder","true"
"HGY_sIzr19G0LhmZpHzUhEJpv2QLx","ReXeR Tokyo","NEW_LOCATION_NEEDS_REVIEW","","","https://rexer-tokyo.style/","unavailable","ReXeR Tokyo","1070062, Tokyo, 2-14-14 Minami-Aoyama, Minato-ku","1070062","東京都","Tokyo","source_only","35.6700211","139.7208252","medium","NEW_BRAND_CANDIDATE","","ReXeR","rexer","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Facility official website could not be verified live","HYROX governing-body Training Finder","true"
"HGY_a672D4AVpogVam9W86vDdYGuj","RLIGHT24 HYROX部","NEW_LOCATION_NEEDS_REVIEW","","","https://www.instagram.com/hyrox_tokushima/","noncanonical","RLIGHT24 HYROX部","7700023, 徳島市, 佐古三番町15-22","7700023","徳島県","徳島市","postal_authority_resolved","34.0799534","134.5369498","medium","INDEPENDENT_FACILITY","","RLIGHT24 HYROX部","rlight24-hyrox","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Only a social, booking, or hosted landing-page URL is available","HYROX governing-body Training Finder | facility official website | postal address lookup","true"
"HGY_6okPO396AJbISj7LTMTlrkEPD","SamiFitness","NEW_LOCATION_NEEDS_REVIEW","","","https://www.samifitnesstokyo.com/","verified","SamiFitness","1060047, Tokyo, Minami Azabu 5-2-9","1060047","東京都","Tokyo","source_only","35.6551108","139.7248078","medium","INDEPENDENT_FACILITY","","SamiFitness","samifitness","","","fail-closed-source-review","HYROX governing-body Training Finder record has a stable HGY identity","Postal authority did not resolve prefecture and city","HYROX governing-body Training Finder | facility official website","true"
