"hgy_external_id","hyrox_official_name","name","slug","brand_ref","brand_resolution","postal_code","prefecture","city","address_line","latitude","longitude","official_url","source_url","location_type","last_verified_at","stale_at","collision_status","candidate_hash"
"HGY_I5QXnm7FEYFTEAvXmWjgmeNA3","ハイアルチ下北沢スタジオ","ハイアルチ 下北沢スタジオ","hyrox-training-club-1550033","brand:high-alti","NEW_SINGLE_LOCATION_BRAND","1550033","東京都","世田谷区","1550033, Tokyo, 1F, TOKYU REIT Shimokitazawa square, 6-6-1 Daita, Setagaya-ku,","35.6634077","139.6653294","https://high-alti.jp/studio/","https://hyrox-training-finder.hyrox.com/gym/HGY_I5QXnm7FEYFTEAvXmWjgmeNA3","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","3471d1c2841fe33201cbeeac01cd0ee39ad3f88e3e34838752177c95bcafebfb"
"HGY_i9WQU37U4iMwhDulqaXJLnA2v","CrossFit Mitaka","CrossFit Mitaka","crossfit-mitaka-1810013","brand:crossfit-mitaka","NEW_SINGLE_LOCATION_BRAND","1810013","東京都","三鷹市","181-0013, Tokyo, B1F, Mitaka Center 2nd Building, 3-28-21 Shimorenjaku, Mitaka-shi","35.6998119","139.5612568","https://crossfitmitaka.tokyo/","https://hyrox-training-finder.hyrox.com/gym/HGY_i9WQU37U4iMwhDulqaXJLnA2v","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","011ff509f231ae7941134de079196c695be84b268e8e943df5508bafdbe39aa3"
"HGY_ilpB5BY0mpBU4wTEZgBbmetS7","CrossFit 松山","CrossFit 松山","crossfit-7918015","brand:crossfit","NEW_SINGLE_LOCATION_BRAND","7918015","愛媛県","松山市","791-8015, 松山市, 中央1−4−5","33.8539401","132.7540009","https://www.crossfitmatsuyama.com/","https://hyrox-training-finder.hyrox.com/gym/HGY_ilpB5BY0mpBU4wTEZgBbmetS7","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","34499591f4dcbe9df5851cbaaee2fdf57a1246ae02795235c93afe70aa15c1bb"
"HGY_j1Szv4JmxytARCgfm48f0Z4xS","HTC CHIKUSA– Human Performance Training Center –","HTC CHIKUSA– Human Performance Training Center –","htc-chikusa-human-performance-training-center-4600007","brand:htc-chikusa-human-performance-training-center","NEW_SINGLE_LOCATION_BRAND","4600007","愛知県","名古屋市中区","460-0007, Nagoya, 新栄３丁目６−３","35.1686373","136.9272898","https://htc-chikusa.com/","https://hyrox-training-finder.hyrox.com/gym/HGY_j1Szv4JmxytARCgfm48f0Z4xS","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","bdba7bb9039b3a6dc6fb509fb04cb0d6102e8929327e82df91ceb4b0baf16605"
"HGY_JCa2wmnnXSkHcguScx2Fg9XC8","CrossFit Amagasaki","CrossFit Amagasaki","crossfit-amagasaki-6600807","brand:crossfit-amagasaki","NEW_SINGLE_LOCATION_BRAND","6600807","兵庫県","尼崎市","6600807, Hyogo, Amagasaki, Nagasu nishidori 1-13-7","34.7269537","135.4285706","https://cf-amagasaki.jp/","https://hyrox-training-finder.hyrox.com/gym/HGY_JCa2wmnnXSkHcguScx2Fg9XC8","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","bd65dbe311402aee31c24eff7715c0b4e9094ec1d00fbc2fd81216ca1b1ad5c3"
"HGY_kk6NqoZrMoGBicxYBwVJafaE2","オレンジセオリーフィットネス武蔵小金井","オレンジセオリーフィットネス武蔵小金井","hyrox-training-club-1840004","brand:orangetheory-fitness","NEW_CHAIN_BRAND","1840004","東京都","小金井市","1840004, Koganei, 6-2-30-3F Honcho","35.6991677","139.5054922","https://www.orangetheoryfitness.co.jp/musashikoganei/","https://hyrox-training-finder.hyrox.com/gym/HGY_kk6NqoZrMoGBicxYBwVJafaE2","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","110a38734bd196d5691b364165b010ca547324616d03f87d240fb3e2be77b240"
"HGY_KXsKkigAHxENjfO8pM4ocl6FF","Beequick Fitness　Fuji imaizumi","Beequick Fitness　Fuji imaizumi","beequick-fitness-fuji-imaizumi","brand:beequick-fitness","EXISTING_BRAND_REUSE","4170001","静岡県","富士市","417-0001, Fuji-shi, imaizumi3-5-1","35.1658296","138.6958927","https://www.beequick.jp/location/fujiimaizumi/","https://hyrox-training-finder.hyrox.com/gym/HGY_KXsKkigAHxENjfO8pM4ocl6FF","fitness_club","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","83d199d755427da17e46280b05cfed15950297730307c5565376f031de45a43d"
"HGY_LofMB67LwXKWbb4m2xQmqsqMD","OTF URAWA","オレンジセオリーフィットネス 浦和","hyrox-training-club-3300062","brand:orangetheory-fitness","NEW_CHAIN_BRAND","3300062","埼玉県","さいたま市浦和区","330-0062, saitama, nakamachi 1bankan 1F  urawaku nakachou 1-3-10","35.8598225","139.6550075","https://orangetheoryfitness.co.jp/urawa/index.html","https://hyrox-training-finder.hyrox.com/gym/HGY_LofMB67LwXKWbb4m2xQmqsqMD","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","60b9e5e0fd947334f6085d8fc83386ba1f249488542cca87ad10417e8edf571a"
"HGY_LUMiZByOSjT9LQQgyPQdvMSCE","THE PICKLE BANG THEORY","THE PICKLE BANG THEORY","the-pickle-bang-theory-2720021","brand:the-pickle-bang-theory","NEW_SINGLE_LOCATION_BRAND","2720021","千葉県","市川市","272-0021, Ichikawa, 八幡2-16-6 6F","35.7215231","139.9267398","https://www.thepicklebang.com/","https://hyrox-training-finder.hyrox.com/gym/HGY_LUMiZByOSjT9LQQgyPQdvMSCE","fitness_studio","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","3c2c553ef05569ce3e437a7b63b04a60f3c73e8189cb0134d1d8e534e1351e4c"
"HGY_mAUikrooxzoDevlGFVY7yXt3l","Gold‘s Gym Maebashi Inter","ゴールドジム 前橋インター","hyrox-training-club-3700001","brand:golds-gym","EXISTING_BRAND_REUSE","3700001","群馬県","高崎市","370-0001, Takasaki, Gunma, 44　Nakao-machi, Akamaru A Building, 1F","36.37503","139.0336953","https://www.goldsgym.jp/shop/maebashi-inter/","https://hyrox-training-finder.hyrox.com/gym/HGY_mAUikrooxzoDevlGFVY7yXt3l","fitness_club","2026-08-29T23:03:31.000Z","2026-11-27T23:03:31.000Z","clear","5874dc62a60d13e22d207d37b6ba40fd9bd09ff6b8c641e0f8722c4bb1823eb8"
